rxn_id,solv_1,percent_1,solv_2,percent_2,Y
Xf2346,DMAC,1,,,0.82
Xf2353,Acetone,1,,,0.72
Xf2345,DMSO,1,,,0.7
Xf2344,DMF,1,,,0.62
Xf2352,ACN,1,,,0.52
Xf2350,NPA,1,,,0.26
Xf2351,tBuOH,1,,,0.14
Xf2356,EA,1,,,0.01
xf2379,EA,0.2,acetone,0.8,0.35
xf2380,EA,0.4,acetone,0.6,0.59
xf2381,EA,0.6,acetone,0.4,0.04
xf2382,EA,0.8,acetone,0.2,0.2
xf2383,EA,0.2,tBuOH,0.8,0.25
xf2384,EA,0.4,tBuOH,0.6,0.23
xf2385,EA,0.6,tBuOH,0.4,0.29
xf2386,EA,0.8,tBuOH,0.2,0.25
xf2387,acetone,0.5,THF,0.5,0.64
xf2388,acetone,0.5,Dioxane,0.5,0.5
xf2389,acetone,0.5,TEA,0.5,0.82
xf2390,acetone,0.5,Ethanol,0.5,0
xf2391,acetone,0.5,IPA,0.5,0.53
Xf2347,TEA,1,,,0
Xf2348,Ethanol,1,,,0
Xf2349,IPA,1,,,0
Xf2354,THF,1,,,0
Xf2355,Dioxane,1,,,0
xf2392,DMSO,0.5,THF,0.5,0.63
xf2393,DMSO,0.5,Dioxane,0.5,0.6
xf2394,DMSO,0.5,TEA,0.5,0.72
xf2395,DMSO,0.5,Ethanol,0.5,0
xf2396,DMSO,0.5,IPA,0.5,0.62
